movie_id,platform_id,need_pay,sample_link
3319755,4,False,https://www.bilibili.com/bangumi/play/ss28980?bsource=douban
1851857,1,True,http://v.qq.com/x/cover/w7vmjen1fzoeygx.html?ptag=douban.movie
1851857,2,True,http://v.youku.com/v_show/id_XNjQ5Nzk4Njg4.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1851857,3,True,http://www.iqiyi.com/v_19rra6zong.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1851857,4,False,https://www.bilibili.com/bangumi/play/ss28280?bsource=douban
1296141,7,False,https://www.ixigua.com/cinema/album/7PhOqkOfh4G?utm_source=douban
1292365,2,False,https://v.youku.com/v_show/id_XMzgwMzg0MzQzMg==.html
1300267,1,True,http://v.qq.com/x/cover/gzdq4acw02m3ajs.html?ptag=douban.movie
1300267,2,True,http://v.youku.com/v_show/id_XNzc0MjY3MzE2.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1300267,3,True,http://www.iqiyi.com/v_19rrjba8ec.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1300267,4,False,https://www.bilibili.com/bangumi/play/ss31886?bsource=douban
20495023,1,True,http://v.qq.com/x/cover/vjrvzv3s517g6m8.html?ptag=douban.movie
20495023,5,True,http://www.mgtv.com/b/322078/4265048.html?cxid=94l62sj44
20495023,3,True,http://www.iqiyi.com/v_19rr8cycvc.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1293172,1,False,http://v.qq.com/x/cover/29trop8s2ipr3es.html?ptag=douban.movie
1293172,2,False,http://v.youku.com/v_show/id_XMzk0ODg1NTgyNA==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
1293172,3,False,http://www.iqiyi.com/v_19rr7mmpfg.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1293172,5,False,http://www.mgtv.com/b/8318/298457.html?cxid=94l62sj44
26387939,2,False,http://v.youku.com/v_show/id_XMjg2NTM2ODU5Mg==.html?tpa=dW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ&refer=esfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900
26387939,1,False,http://v.qq.com/x/cover/2xxul4n2j8y0rxi.html?ptag=douban.movie
26387939,3,False,http://www.iqiyi.com/v_19rr80k1as.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1291552,8,True,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=667962043&pwId=d01197d3076b4164af82983c408bb996
1291552,1,True,http://v.qq.com/x/cover/tphyx6noqtfv27x.html?ptag=douban.movie
1291552,3,True,http://www.iqiyi.com/v_19rra68crs.html?vfm=m_331_dbdy&fv=4904d94982104144a1548dd9040df241
1291552,4,False,https://www.bilibili.com/bangumi/play/ss33035?bsource=douban
1929463,8,True,https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=651825301&pwId=d01197d3076b4164af82983c408bb996
1929463,1,True,http://v.qq.com/x/cover/phncvm1ns0sygig.html?ptag=douban.movie
