movie_id,score,rating_count,star_1_count,star_2_count,star_3_count,star_4_count,star_5_count,collect_count,wish_count,comments_count,reviews_count
2295593,0.0,15.0,0.0,0.0,0.0,0.0,0.0,29,57,8,0
5083896,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0
1303544,7.1,765.0,3.0,34.0,233.0,223.0,63.0,1049,1700,185,6
4082178,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5,6,1,0
26593038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1306191,6.1,81.0,3.0,11.0,27.0,11.0,4.0,104,205,15,0
5057373,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5,18,1,0
33398439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
30197732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
20388640,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5,4,1,0
2133805,0.0,320.0,0.0,0.0,0.0,0.0,0.0,314,25,1,0
2023512,6.6,273.0,2.0,14.0,105.0,48.0,12.0,356,97,68,4
3862614,0.0,17.0,0.0,0.0,0.0,0.0,0.0,19,27,7,0
4088941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,0,0
3432874,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10,25,0,0
4088935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0
5083658,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3,12,0,0
1295499,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,9,1,0
5083669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
5083667,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4,9,1,0
5083663,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6,2,0,0
2133865,0.0,332.0,0.0,0.0,0.0,0.0,0.0,323,24,2,0
2133902,0.0,340.0,0.0,0.0,0.0,0.0,0.0,334,20,1,0
1469558,7.2,702.0,3.0,21.0,208.0,222.0,64.0,853,581,209,8
1303803,0.0,9.0,0.0,0.0,0.0,0.0,0.0,17,57,1,0
1303423,7.7,1397.0,5.0,25.0,280.0,523.0,197.0,1712,2555,440,1
25937735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1868611,0.0,12.0,0.0,0.0,0.0,0.0,0.0,19,19,3,2
25937738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1470718,7.5,267.0,1.0,4.0,71.0,83.0,35.0,440,1576,54,2
26680651,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4,1,1,0
2133898,0.0,345.0,0.0,0.0,0.0,0.0,0.0,340,74,3,0
4072014,0.0,9.0,0.0,0.0,0.0,0.0,0.0,16,15,2,0
33407622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
5088679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,0
2047146,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4,41,2,1
1293219,8.2,4564.0,13.0,51.0,577.0,1790.0,1061.0,7097,10763,722,17
1303400,0.0,9.0,0.0,0.0,0.0,0.0,0.0,15,138,2,0
2134008,6.3,461.0,0.0,6.0,15.0,5.0,3.0,468,98,12,0
3425808,0.0,21.0,0.0,0.0,0.0,0.0,0.0,27,40,4,0
1292945,0.0,45.0,0.0,0.0,0.0,0.0,0.0,62,149,12,0
4070589,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10,37,3,0
2300519,0.0,14.0,0.0,0.0,0.0,0.0,0.0,19,33,4,0
3862646,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,9,0,0
2033740,7.2,154.0,1.0,5.0,48.0,45.0,14.0,184,333,38,1
2005837,0.0,12.0,0.0,0.0,0.0,0.0,0.0,19,66,5,0
2131461,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7,22,1,0
33412199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0
2033997,5.4,155.0,8.0,26.0,55.0,5.0,3.0,196,45,26,2
2035797,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7,28,1,0
4883052,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6,12,2,0
3862678,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3,8,1,0
1303831,7.7,1329.0,6.0,24.0,286.0,462.0,206.0,1780,457,174,0
2298145,0.0,40.0,0.0,0.0,0.0,0.0,0.0,53,22,7,4
1303848,0.0,21.0,0.0,0.0,0.0,0.0,0.0,32,79,5,0
5057186,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7,11,2,0
2133912,0.0,397.0,0.0,0.0,0.0,0.0,0.0,420,177,21,0
1293602,7.9,871.0,3.0,18.0,142.0,263.0,148.0,1209,4378,206,14
30280427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
2133934,0.0,397.0,0.0,0.0,0.0,0.0,0.0,402,95,10,1
1470219,6.3,401.0,7.0,49.0,140.0,56.0,23.0,625,1921,106,0
6008462,7.7,97.0,1.0,1.0,30.0,20.0,23.0,123,60,5,0
10604330,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,13,0,0
4791016,0.0,10.0,0.0,0.0,0.0,0.0,0.0,11,12,2,0
5057000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0
5056990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
26781226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1297977,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5,24,1,0
5056788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1295868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
5056773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,0,0
1296948,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,5,0,0
